community,year,temp_value,source,scenario,family_predicted_count,family_reference_count,family_excess_events,family_risk_0_100,temperature
ALBANY PARK,2020,24,ED,steady_state_lag_window,2.711191469628956,2.623128857848419,0.0880626117805373,17.609760491885208,24
ALBANY PARK,2020,24,EMS,steady_state_lag_window,9.092485546997446,8.054958488907328,1.037527058090118,3.75821626169924,24
ALBANY PARK,2020,24,Mortality,steady_state_lag_window,1.1541477758477126,1.1715185585682897,-0.017370782720577002,0.8076341650358421,24
ALBANY PARK,2020,25,ED,steady_state_lag_window,2.7215896696579063,2.623128857848419,0.09846081180948749,17.695252338598777,25
ALBANY PARK,2020,25,EMS,steady_state_lag_window,9.160834107947755,8.054958488907328,1.1058756190404262,3.9642304247788176,25
ALBANY PARK,2020,25,Mortality,steady_state_lag_window,1.1532928921584433,1.1715185585682897,-0.01822566640984634,0.8070705763448031,25
ALBANY PARK,2020,26,ED,steady_state_lag_window,2.7321037282922176,2.623128857848419,0.10897487044379868,17.781696750766223,26
ALBANY PARK,2020,26,EMS,steady_state_lag_window,9.230067207912153,8.054958488907328,1.175108719004825,4.17291073857416,26
ALBANY PARK,2020,26,Mortality,steady_state_lag_window,1.152448507815865,1.1715185585682897,-0.019070050752424503,0.8065139094293609,26
ALBANY PARK,2020,27,ED,steady_state_lag_window,2.742737537220565,2.623128857848419,0.11960867937214592,17.869125725045677,27
ALBANY PARK,2020,27,EMS,steady_state_lag_window,9.300197313442277,8.054958488907328,1.2452388245349477,4.3842947793877585,27
ALBANY PARK,2020,27,Mortality,steady_state_lag_window,1.151614471139489,1.1715185585682897,-0.019904087428800725,0.8059640642929784,27
ALBANY PARK,2020,28,ED,steady_state_lag_window,2.7534952523765917,2.623128857848419,0.13036639452817297,17.95757343066268,28
ALBANY PARK,2020,28,EMS,steady_state_lag_window,9.371237148070586,8.054958488907328,1.3162786591632574,4.598420898105943,28
ALBANY PARK,2020,28,Mortality,steady_state_lag_window,1.1509118955915776,1.1715185585682897,-0.020606662976712008,0.8055008859233669,28
ALBANY PARK,2020,29,ED,steady_state_lag_window,2.764381313300391,2.623128857848419,0.1412524554519724,18.04707636859626,29
ALBANY PARK,2020,29,EMS,steady_state_lag_window,9.443199697702154,8.054958488907328,1.388241208794826,4.815328236450619,29
ALBANY PARK,2020,29,Mortality,steady_state_lag_window,1.1507127154578536,1.1715185585682897,-0.02080584311043601,0.8053695748780685,29
ALBANY PARK,2020,30,ED,steady_state_lag_window,2.7772041544093975,2.623128857848419,0.15407529656097851,18.152503112020273,30
ALBANY PARK,2020,30,EMS,steady_state_lag_window,9.516098216131704,8.054958488907328,1.4611397272243751,5.03505674360856,30
ALBANY PARK,2020,30,Mortality,steady_state_lag_window,1.1505374942701927,1.1715185585682897,-0.020981064298096964,0.8052540589534629,30
ALBANY PARK,2020,31,ED,steady_state_lag_window,2.7930651923079615,2.623128857848419,0.1699363344595428,18.28290928010388,31
ALBANY PARK,2020,31,EMS,steady_state_lag_window,9.589946230690225,8.054958488907328,1.5349877417828965,5.257647193251284,31
ALBANY PARK,2020,31,Mortality,steady_state_lag_window,1.0998176104146449,1.1715185585682897,-0.07170094815364476,0.7718165828258889,31
ALBANY PARK,2020,32,ED,steady_state_lag_window,2.809361409441317,2.623128857848419,0.1862325515928979,18.41689340171118,32
ALBANY PARK,2020,32,EMS,steady_state_lag_window,9.664757548022745,8.054958488907328,1.6097990591154157,5.4831412009502145,32
ALBANY PARK,2020,32,Mortality,steady_state_lag_window,1.0440553388601486,1.1715185585682897,-0.12746321970814106,0.7350548735673843,32
ALBANY PARK,2020,33,ED,steady_state_lag_window,2.826116681567619,2.623128857848419,0.20298782371920027,18.55465177838002,33
ALBANY PARK,2020,33,EMS,steady_state_lag_window,9.740546260001278,8.054958488907328,1.6855877710939486,5.711581241999334,33
